Database Of Medicine Prices,,,,,,,,,,,,,,,,,,,,,,
Applicants MCC Licence No ,Applicant Name,Product MCC Registration No ,Nappi Code,ATC 4,Schedule,Product Proprietary Name,Active Ingredients,Strength,Unit,Dosage Form,Pack Size,Quantity,Manufacturer Price,Logistics Fee,VAT,SEP,Unit Price,Effective Date,Status,,Originator or Generic,12 Months Volume of Sales
243,Ranbaxy,,707312001,C09AA,S3,Simayla Lisinopril 20,Lisinopril,20,mg,TAB,30,,45,8,7,61,2,2009/02/09,,,,
243,Ranbaxy,,707310001,C09AA,S3,Simayla Lisinopril 5,Lisinopril,5,mg,TAB,30,,25,4,4,33,1,2009/02/09,,,,
243,Ranbaxy,,707869001,C09AA,S3,Simayla Ramipril 10,Ramipril,10,mg,CAP,30,,97,17,16,131,4,2009/02/09,,,,
243,Ranbaxy,,707308001,A02BA,S3,Simayla Ranitidine 150,Ranitidine,150,mg,TAB,60,,37,7,6,50,1,2009/02/09,,,,
243,Ranbaxy,,707309001,A02BA,S3,Simayla Ranitidine 300,Ranitidine,300,mg,TAB,30,,30,5,5,40,1,2009/02/09,,,,
243,Ranbaxy,,707307001,A02BA,S2,Simayla Ranitidine 75,Ranitidine,75,mg,TAB,12,,11,2,2,14,1,2009/03/17,,,,
243,Ranbaxy,,707870001,C10AA,S4,Simayla Simvastatin 10,Simvastatin,10,mg,TAB,28,,58,10,10,77,3,2009/02/09,,,,
243,Ranbaxy,,707871001,C10AA,S4,Simayla Simvastatin 20,Simvastatin,20,mg,TAB,28,,58,10,10,77,3,2009/02/09,,,,
243,Ranbaxy,,707873001,C10AA,S4,Simayla Simvastatin 40,Simvastatin,40,mg,TAB,28,,58,10,10,77,3,2009/02/09,,,,
243,Ranbaxy,36/7.5/0373,703525001,C10AA,S4,Simvotin  ,Simvastatin,10,mg,TAB,28,,23,3,4,30,1,2009/09/16,,,,
243,Ranbaxy,36/7.5/0374,703526001,C10AA,S4,Simvotin  ,Simvastatin,20,mg,TAB,28,,32,5,5,42,2,2009/09/16,,,,
243,Ranbaxy,36/7.5/0375,703527001,C10AA,S4,Simvotin  ,Simvastatin,40,mg,TAB,28,,45,6,7,59,2,2009/10/23,,,,
243,Ranbaxy (SA) (Pty) Ltd,35/7.1.3/0210,700692001,C09AA,S3,Sinopren 10  ,Lisinopril,10,mg,TAB,30,,14,2,2,18,1,2009/09/15,,,,
243,Ranbaxy (SA) (Pty) Ltd,35/7.1.3/0211,700694001,C09AA,S3,Sinopren 20  ,Lisinopril,20,mg,TAB,30,,14,2,2,18,1,2009/09/15,,,,
243,Ranbaxy (SA) (Pty) Ltd,35/7.1.3/0209,700691001,C09AA,S3,Sinopren 5,Lisinopril,5,mg,TAB,30,,14,2,2,18,1,2009/09/15,,,,
243,Ranbaxy,,708391001,N03AX,S3,Toplep 100,Topiramate,100,mg,TAB,60,,316,35,49,401,7,2009/04/02,,,,
243,Ranbaxy,,708392001,N03AX,S3,Toplep 200,Topiramate,200,mg,TAB,60,,470,52,73,595,10,2009/04/02,,,,
243,Ranbaxy,40/2.5/0348,708389001,N03AX,S3,Toplep 25,Topiramate,25,mg,TAB,60,,94,13,15,123,2,2009/09/16,,,,
243,Ranbaxy,,708390001,N03AX,S3,Toplep 50,Topiramate,50,mg,TAB,60,,178,20,28,226,4,2009/04/02,,,,
243,Ranbaxy,,830658009,J01DC,S4,Vercef ,Cefaclor,187,mg/5ml,SUS,50,,23,3,4,30,1,2009/05/11,,,,
243,Ranbaxy,,830666001,J01DC,S4,Vercef ,Cefaclor,375,mg/5ml,SUS,50,,43,6,7,55,1,2009/05/11,,,,
243,Ranbaxy,,838217001,J01DC,S4,Vercef mr ,Cefaclor,375,mg,TAB,10,,36,5,6,47,5,2009/05/11,,,,
243,Ranbaxy,,701034004,J01MA,S4,Zanocin 200  ,Ofloxacin,200,mg,TAB,10,,13,2,2,17,2,2009/02/09,,,,
243,Ranbaxy,,701032003,J01MA,S4,Zanocin 400  ,Ofloxacin,400,mg,TAB,10,,129,18,21,168,17,2009/02/09,,,,
243,Ranbaxy (SA) (Pty) Ltd,42/7.1.3/0107,710611001,C09AA,S3,Ran-Perindopril 4,Perindopril tert-butylamine,4,mg,TAB,30,,57,8,9,74,2,2009/09/15,,,,
,,30/3.1/0440,824852002,,S3,Ranfen,Ibuprofen 200mg,200,mg,TAB,28,,3,0,1,4,0,,,,,
243,Ranbaxy,41/2.5/0727,710525001,N03AX,S3,Ran-Gabapentin,Gabapentin,100,mg,CAP,100,,89,13,14,117,1,2009/09/07,,,,
243,Ranbaxy,41/2.5/0728,710526001,N03AX,S3,Ran-Gabapentin,Gabapentin,300,mg,CAP,100,,223,32,36,291,3,2009/09/07,,,,
243,Ranbaxy,41/2.5/0729,710527001,N03AX,S3,Ran-Gabapentin,Gabapentin,400,mg,CAP,100,,223,32,36,291,3,2009/09/07,,,,
243,Ranbaxy,30/20.1.1/0333,830933018,J01D2,S4,Ranzol ,Cefazolin 1g,1,g,INJ,1,,4,1,1,6,6,2009/04/25,,,,
183,Reckitt Benckiser Pharmaceuticals Pty (Ltd),B/2.8/569,705904001,N02BA,S2,Disprin Plus 10 (Formerly Codis 10) ,Acetylsalicylic acid,500,mg,TAB,10,,9,1,1,11,1,2009/03/29,,,,
,,,,,,,Codeine,8,mg,,,,,,,,,,,,,
183,Reckitt Benckiser Pharmaceuticals Pty (Ltd),B/2.8/569,705907002,N02BA,S2,Disprin Plus 30 (Formerly Codis 30) ,Acetylsalicylic acid,500,mg,TAB,30,,26,3,4,34,1,2009/03/29,,,,
,,,,,,,Codeine,8,mg,,,,,,,,,,,,,
183,Reckitt Benckiser Pharmaceuticals Pty (Ltd),B/2.8/569,705907005,NO2BA,S1,DISPRIN PLUS 16,Acetylsalicylic acid,500,mg,TAB,16,,14,2,2,18,1,2009/04/15,,,,
,,,,,,,Codeine Phosphate,8,mg,,,,,,,,,,,,,
183,Reckitt Benckiser Pharmaceuticals Pty (Ltd),B/2.8/569,705907006,NO02BA,S1,DISPRIN PLUS 32,Acetylsalicylic acid,500,mg,TAB,32,,28,4,4,36,1,2009/04/15,,,,
,,,,,,,Codeine Phosphate,8,mg,,,,,,,,,,,,,
183,Reckitt Benckiser Pharmaceuticals Pty (Ltd),B/2.8/569,705907004,N02BA,S2,Disprin Plus 500 (Formerly Codis 500) ,Acetylsalicylic acid,500,mg,TAB,500,,439,58,70,567,1,2009/03/29,,,,
183,Reckitt Benckiser Pharmaceuticals Pty (Ltd),B/2.8/569,705907003,N02BA,S2,Disprin Plus 60 (Formerly Codis 60) ,Acetylsalicylic acid,500,mg,TAB,60,,53,7,8,68,1,2009/03/29,,,,
,,,,,,,Codeine,8,mg,,,,,,,,,,,,,
183,Reckitt Benckiser Pharmaceuticals Pty (Ltd),T/5.4.1/95,781282004,N04BD,S4,Eldepryl  ,Selegiline,8,mg,TAB,30,,318,42,50,411,14,2009/03/29,,,,
561,Roche Pharmaceutical Division ,,700029001,R02AD,S1,AAA Throat Spray ,Benzocaine,2,mg/dose,SPR,1,,,,,45,45,2009/02/27,,,,
,,,,,,,Cetalkonium,0,mg/dose,,,,,,,,,,,,,
561,Roche Pharmaceutical Division ,V/34/141,779806018,V03AB,S5,Anexate 10ml ,Flumazenil,1,mg/5ml,INJ,1,,325,34,50,409,409,2009/02/27,,,,
561,Roche Pharmaceutical Division ,V/34/140,779792009,V03AB,S5,Anexate 5ml  ,Flumazenil,1,mg/5ml,INJ,1,,198,21,31,249,249,2009/02/27,,,,
561,Roche Pharmaceutical Division ,29/1.2/0112,788775006,N06AG,S5,Aurorix,Moclobemide,150,mg,TAB,60,,298,46,48,392,7,2009/02/27,,,,
561,Roche Pharmaceutical Division ,X/1.2/308 ,816205019,N06AG,S5,Aurorix,Moclobemide,300,mg,TAB,60,,538,84,87,709,12,2009/02/27,,,,
561,Roche Products (Pty) Ltd,A39/26/0314,706042002,L01XC,S4,Avastin 100mg 4ml,Bevacizumab,100,mg/4ml,INF,4,,2587,197,390,3173,793,2009/09/09,,,,
561,Roche Products (Pty) Ltd,A39/26/0315,706041002,L01XC,S4,Avastin 400mg 16ml,Bevacizumab,100,mg/4ml,INF,16,,10347,786,1559,12692,793,2009/09/09,,,,
561,Roche Pharmaceutical Division ,F/20.2/191,706418018,J01EE,S4,Bactrim 5mlIVv  ,Sulfamethoxazole,400,mg/5ml,INF,5,,164,17,25,206,41,2009/02/27,,,,
,,,,,,,Trimethoprim,80,mg/5ml,,,,,,,,,,,,,
561,Roche Pharmaceutical Division ,B/20.2/111,706434005,J01EE,S4,Bactrim adult,Sulfamethoxazole,400,mg,TAB,20,,46,7,7,60,3,2009/02/27,,,,
,,,,,,,Trimethoprim,80,mg,,,,,,,,,,,,,
561,Roche Pharmaceutical Division ,,706434013,J01EE,S4,Bactrim adult,Sulfamethoxazole,400,mg,TAB,100,,192,27,31,250,3,2009/02/27,,,,
,,,,,,,Trimethoprim,80,mg,,,,,,,,,,,,,
561,Roche Pharmaceutical Division ,L/20.2/64,706442008,J01EE,S4,Bactrim ds,Sulfamethoxazole,800,mg,TAB,10,,53,8,8,69,7,2009/02/27,,,,
,,,,,,,Trimethoprim,160,mg,,,,,,,,,,,,,
561,Roche Pharmaceutical Division ,,706442016,J01EE,S4,Bactrim ds,Sulfamethoxazole,800,mg,TAB,100,,441,63,70,650,7,2009/02/27,,,,
,,,,,,,Trimethoprim,160,mg,,,,,,,,,,,,,
561,Roche Pharmaceutical Division ,Q/7.5/104,708453007,C10AB,S3,Bezalip,Bezafibrate,200,mg,TAB,90,,282,40,45,368,4,2009/02/27,,,,
561,Roche Pharmaceutical Division ,S/7.5/270,779644018,C10AB,S3,Bezalip retard  ,Bezafibrate,400,mg,TAB,30,,286,41,46,372,12,2009/02/27,,,,
561,Roche Pharmaceutical Division ,A34./3.2/0381,710463001,M05BA,S4,Bondronat,Ibandronic acid,6,mg/6ml,INJ,1,,2121,149,318,2588,2588,2009/02/27,,,,
561,Roche Pharmaceutical Division ,,893250007,M05BA,S4,Bondronat 1ml,Ibandronic acid,1,mg/ml,INJ,1,,417,34,63,514,514,2009/02/27,,,,
561,Roche Pharmaceutical Division ,32/3.2/0114,893255002,M05BA,S4,Bondronat 2ml,Ibandronic acid,2,mg/2ml,INJ,1,,849,69,128,1046,1046,2009/02/27,,,,
561,Roche Pharmaceutical Division ,A38/3.2/0562,707113001,M05BA,S4,Bondranat,Ibandronic acid,50,mg,TAB,28,,1971,159,298,2428,87,2009/02/27,,,,
561,Roche Pharmaceutical Division ,31/34/0134,833630008,L04AA,S4,Cellcept  ,Mycophenolic acid,250,mg,CAP,100,,1158,121,179,1459,15,2009/02/27,,,,
561,Roche Pharmaceutical Division ,35/34/0057,702819002,L04AA,S4,Cellcept,Mycophenolic acid,165,ml,SUS,1,,1611,159,248,2018,2018,2009/02/27,,,,
561,Roche Pharmaceutical Division ,33/34/0107,703556001,L04AA,S4,Cellcept IV  ,Mycophenolic acid,500,mg,INJ,4,,628,51,95,773,193,2009/02/27,,,,
561,Roche Pharmaceutical Division ,A39/34/0230,707162001,L04AA,S4,Cellcept,Mycophenolate mofetil,500,mg,TAB,50,,1158,121,179,1459,29,2009/02/27,,,,
561,Roche Pharmaceutical Division ,38/20.2.8/0181,704195001,J05AB,S4,Copegus,Ribavirin,200,mg,TAB,42,,188,14,28,231,6,2009/02/27,,,,
561,Roche Pharmaceutical Division ,,878723005,J05AB,S4,Cymevene  ,Ganciclovir,500,mg,CAP,90,,4866,394,736,5996,67,2009/02/27,,,,
561,Roche Pharmaceutical Division ,Y/20.2.8/291,793175011,J05AB,S4,Cymevene  ,Ganciclovir,500,mg,INJ,5,,2031,213,314,2558,512,2009/02/27,,,,
561,Roche Pharmaceutical Division ,31/7.1.3/0198,833428004,C07AG,S3,Dilatrend ,Carvedilol,6,mg,TAB,30,,88,14,14,115,4,2009/02/27,,,,
561,Roche Pharmaceutical Division ,31/7.1.3/0199,836354001,C07AG,S3,Dilatrend ,Carvedilol,13,mg,TAB,30,,91,14,15,120,4,2009/02/27,,,,
561,Roche Pharmaceutical Division ,X/7.1.3/246,788856006,C07AG,S3,Dilatrend ,Carvedilol,25,mg,TAB,30,,91,14,15,120,4,2009/02/27,,,,
561,Roche Pharmaceutical Division ,T/2.2/207,798630019,N05CD,S5,Dormicum  ,Midazolam,5,mg/5ml,INJ,5,,107,11,17,135,27,2009/02/27,,,,
561,Roche Pharmaceutical Division ,Q/2.2/286,721123007,N05CD,S5,Dormicum  ,Midazolam,15,mg/3ml,INJ,5,,164,17,25,206,41,2009/02/27,,,,
561,Roche Pharmaceutical Division ,T/2.2/207,798630020,N05CD,S5,Dormicum  ,Midazolam,5,mg/5ml,INJ,50,,1075,113,166,1354,27,2009/02/27,,,,
561,Roche Pharmaceutical Division ,Q/2.2/286,721123008,N05CD,S5,Dormicum,Midazolam,15,mg/3ml,INJ,50,,1637,172,253,2062,41,2009/02/27,,,,
561,Roche Pharmaceutical Division ,27/2.2/0078,804711011,N05CD,S5,Dormicum  ,Midazolam,8,mg,TAB,20,,61,9,10,79,4,2009/02/27,,,,
561,Roche Pharmaceutical Division ,R/2.2/123,721115020,N05CD,S5,Dormicum  ,Midazolam,15,mg,TAB,20,,84,12,13,109,5,2009/02/27,,,,
561,Roche Pharmaceutical Division ,Y/2.2/325,787973009,N05CD,S5,Dormicum 10ml,Midazolam,50,mg/10ml,INF,1,,119,12,18,150,150,2009/02/27,,,,
561,Roche Pharmaceutical Division ,,724858016,A10BB,S3,Euglucon  ,Glibenclamide,5,mg,TAB,100,,242,34,39,315,3,2009/02/27,,,,
561,Roche Pharmaceutical Division ,K/20.2.6/68,725560003,P01BD,S4,Fansidar  ,Pyrimethamine,25,mg,TAB,12,,139,20,22,181,15,2009/02/27,,,,
,,,,,,,Sulfadoxine,500,mg,,,,,,,,,,,,,
561,Roche Pharmaceutical Division ,,857181009,J05AE,S4,Forto-vase,Saquinavir,200,mg,CAP,180,,686,107,111,904,5,2009/02/27,,,,
561,Roche Pharmaceutical Division ,34/26/0419; 34/34/0420,884055001,L01XC,S4,Herceptin ,Trastuzumab,440,mg,INJ,1,,18632,1507,2820,22959,22959,2009/02/27,,,,
561,Roche Pharmaceutical Division ,,731153006,R05DA,S2,Histalix  ,Codeine,9,mg/5ml,SYR,100,,18,2,3,22,0,2009/02/27,,,,
,,,,,,,Diphenhydramine,15,mg/5ml,,,,,,,,,,,,,
561,Roche Pharmaceutical Division ,Y/7.1.3/65,792748018,C09AA,S3,Inhibace  ,Cilazapril,3,mg,TAB,28,,94,15,15,124,4,2009/02/27,,,,
561,Roche Pharmaceutical Division ,Y/7.1.3/66,792756002,C09AA,S3,Inhibace  ,Cilazapril,5,mg,TAB,28,,102,16,17,135,5,2009/02/27,,,,
561,Roche Pharmaceutical Division ,29/7.1.3/0022,815055005,C09BA,S3,Inhibace plus,Cilazapril,5,mg,TAB,28,,107,17,17,140,5,2009/02/27,,,,
,,,,,,,Hydrochlorothiazide,13,mg,,,,,,,,,,,,,
561,Roche Pharmaceutical Division ,31/20.2.8/0034,825697018,J05AE,S4,Invi-Rase ,Saquinavir,200,mg,CAP,270,,563,88,91,742,3,2009/02/27,,,,
561,Roche Pharmaceutical Division ,H2251 (Act 101/1965),735477019,B02BA,S1,Konakion  ,Phytomenadione,10,mg,CHU,10,,69,7,11,87,9,2009/02/27,,,,
561,Roche Pharmaceutical Division ,H2250 (Act 101/1965),826219004,B02BD,S1,Konakion mm 1ml ,Phytomenadione,10,mg/ml,INJ,10,,146,15,23,184,18,2009/02/27,,,,
561,Roche Pharmaceutical Division ,29/22/0492,866539018,B02BA,S1,Konakion mm paediatric 0.2ml,Phytomenadione,10,mg/ml,INJ,10,,91,10,14,115,12,2009/02/27,,,,
561,Roche Pharmaceutical Division ,31/5.7.2/0082,861863003,A04AA,S4,Kytril iv 1ml,Granisetron,1,mg/ml,INJ,5,,319,33,49,402,80,2009/02/27,,,,
561,Roche Pharmaceutical Division ,Y/5.7.2/272,787019003,A04AA,S4,Kytril iv 3ml,Granisetron,1,mg/ml,INJ,5,,606,64,94,763,153,2009/02/27,,,,
561,Roche Pharmaceutical Division ,30/5.7.2/0346,701453001,A04AA,S4,Kytril oral  ,Granisetron,2,mg,TAB,5,,517,54,80,651,130,2009/02/27,,,,
561,Roche Pharmaceutical Division ,28/5.7.2/0162,812374003,A04AA,S4,Kytril oral  ,Granisetron,1,mg,TAB,10,,504,53,78,634,63,2009/02/27,,,,
561,Roche Pharmaceutical Division ,28/20.2.6/0104,797677011,P01BC,S4,Lariam ,Mefloquine,250,mg,TAB,50,,597,85,95,777,16,2009/02/27,,,,
561,Roche Pharmaceutical Division ,G/2.6/86,737933003,N05BA,S5,Lexotan,Bromazepam,3,mg,TAB,30,,53,8,9,69,2,2009/02/27,,,,
561,Roche Pharmaceutical Division ,G/2.6/87,737941006,N05BA,S5,Lexotan,Bromazepam,6,mg,TAB,30,,93,13,15,121,4,2009/02/27,,,,
561,Roche Pharmaceutical Division ,G/2.6/86,737933011,N05BA,S5,Lexotan,Bromazepam,3,mg,TAB,90,,160,23,26,208,2,2009/02/27,,,,
561,Roche Pharmaceutical Division ,G/2.6/87,737941014,N05BA,S5,Lexotan,Bromazepam,6,mg,TAB,90,,280,40,45,364,4,2009/02/27,,,,
561,Roche Pharmaceutical Division ,P/5.4.1/150,739928007,N04BA,S4,Madopar,Benserazide,50,mg,TAB,100,,373,58,60,492,5,2009/02/27,,,,
,,,,,,,Levodopa,200,mg,,,,,,,,,,,,,
561,Roche Pharmaceutical Division ,31/5.4.1/0194,828483019,N04BA,S4,Madopar HBS  ,Benserazide,25,mg,CAP,100,,348,54,56,459,5,2009/02/27,,,,
,,,,,,,Levodopa,100,mg,,,,,,,,,,,,,
561,Roche Pharmaceutical Division ,42/8.3/0480,712562001,B03XA,S4,Mircera®,methoxy polyethylene glycol-epoetin beta,50,mcg/0.3ml,PFS,1,,1462,205,233,1900,1900,2009/06/19,,,,
561,Roche Pharmaceutical Division ,42/8.3/0481,712563001,B03XA,S4,Mircera®,methoxy polyethylene glycol-epoetin beta,75,mcg/0.3ml,PFS,1,,2193,307,350,2850,2850,2009/06/19,,,,
561,Roche Pharmaceutical Division ,42/8.3/0482,712564001,B03XA,S4,Mircera®,methoxy polyethylene glycol-epoetin beta,100,mcg/0.3ml,PFS,1,,2924,409,467,3800,3800,2009/06/19,,,,
561,Roche Pharmaceutical Division ,42/8.3/0483,712565001,B03XA,S4,Mircera®,methoxy polyethylene glycol-epoetin beta,150,mcg/0.3ml,PFS,1,,2924,409,467,3800,3800,2009/06/19,,,,
561,Roche Pharmaceutical Division ,42/8.3/0484,712567001,B03XA,S4,Mircera®,methoxy polyethylene glycol-epoetin beta,200,mcg/0.3ml,PFS,1,,3899,546,622,5067,5067,2009/06/19,,,,
561,Roche Pharmaceutical Division ,42/8.3/0485,712568001,B03XA,S4,Mircera®,methoxy polyethylene glycol-epoetin beta,250,mcg/0.3ml,PFS,1,,4873,682,778,6333,6333,2009/06/19,,,,
561,Roche Pharmaceutical Division ,,799335010,M01AE,S2,Naprosyn,Naproxen,500,mg,ECT,20,,126,16,20,162,8,2009/02/27,,,,
561,Roche Pharmaceutical Division ,W/13.4.2/73,817732004,D05BB,S5,Neotigason,Acitretin,10,mg,CAP,30,,460,66,74,599,20,2009/02/27,,,,
561,Roche Pharmaceutical Division ,W/13.4.2/74,817740007,D05BB,S5,Neotigason,Acitretin,25,mg,CAP,30,,996,142,159,1297,43,2009/02/27,,,,
561,Roche Pharmaceutical Division ,Z/30.4/190,791199010,L03AA,S4,Neupogen 30 1ml ,Filgrastim,300,mcg,INJ,5,,4380,354,663,5397,1079,2009/02/27,,,,
561,Roche Pharmaceutical Division ,32/30.4/0032,894081001,L03AA,S4,Neupogen 30 prefill syringe 0.5ml ,Filgrastim,300,mcg,PFS,5,,3152,255,477,3884,777,2009/02/27,,,,
561,Roche Pharmaceutical Division ,32/30.4/0033,894087002,L03AA,S4,Neupogen 48 prefill syringe 0.5ml ,Filgrastim,480,mcg,PFS,5,,4872,394,737,6004,1201,2009/02/27,,,,
561,Roche Pharmaceutical Division ,,793191009,M05BA,S4,Ostac  ,Clodronic acid,400,mg,CAP,40,,471,38,71,580,15,2009/02/27,,,,
561,Roche Pharmaceutical Division ,38/26/0179,704196001,L03AB,S4,Pegasys,Interferon alfa-2a,135,mcg,INJ,1,,1945,146,293,2385,2385,2009/02/27,,,,
561,Roche Pharmaceutical Division ,38/26/0180,704197001,L03AB,S4,Pegasys,Interferon alfa-2a,180,mcg,INJ,1,,2220,167,334,2721,2721,2009/02/27,,,,
561,Roche Pharmaceutical Division ,28/30.4/0675,814679005,R05CB,S3,Pulmozyme ,Dornase alfa (desoxyribonuclease),3,mg/25ml,SLN,30,,4530,705,733,5968,199,2009/02/27,,,,
561,Roche Pharmaceutical Division ,33/8.3/0005,703741004,B03XA,S4,Recormon 10000 penfill,Erythropoietin,10000,iu,INJ,1,,730,114,118,962,962,2009/02/27,,,,
561,Roche Pharmaceutical Division ,33/8.3/0006,703744003,B03XA,S4,Recormon 20000 penfill,Erythropoietin,20000,iu,INJ,1,,1460,227,236,1924,1924,2009/02/27,,,,
561,Roche Pharmaceutical Division ,,793779006,B03XA,S4,Recormon 2000iu ,Erythropoietin,2000,u,INJ,10,,1093,170,177,1441,144,2009/02/27,,,,
561,Roche Pharmaceutical Division ,,809179008,B03XA,S4,Recormon 5000,Erythropoietin,5000,u,INJ,5,,1599,167,247,2014,403,2009/02/27,,,,
561,Roche Pharmaceutical Division ,39/8.3/0105,705751001,B03XA,S4,Recormon Pre-Filled,Erythropoietin,30000,iu,PFS,4,,9084,898,1398,11380,2845,2009/02/27,,,,
561,Roche Pharmaceutical Division ,A38/8.3/0499,704632001,B03XA,S4,Recormon Pre-Filled,Erythropoietin,500,iu,PFS,6,,189,28,30,247,41,2009/02/27,,,,
561,Roche Pharmaceutical Division ,37/8.3/0567,704772001,B03XA,S4,Recormon Pre-Filled,Erythropoietin,2000,iu,PFS,6,,724,108,116,948,158,2009/02/27,,,,
561,Roche Pharmaceutical Division ,37/8.3/0568,704631001,B03XA,S4,Recormon Pre-Filled,Erythropoietin,4000,iu,PFS,6,,1447,216,233,1897,316,2009/02/27,,,,
561,Roche Pharmaceutical Division ,37/8.3/0569,704630001,B03XA,S4,Recormon Pre-Filled,Erythropoietin,6000,iu,PFS,6,,2266,339,365,2969,495,2009/02/27,,,,
561,Roche Pharmaceutical Division ,A38/8.3/0500,705261001,B03XA,S4,Recormon Pre-Filled,Erythropoietin,10000,iu,PFS,6,,3996,597,643,5236,873,2009/02/27,,,,
561,Roche Pharmaceutical Division ,,809160005,B03XA,S4,Recormon vials  ,Erythropoietin,1000,iu,INJ,10,,604,94,98,796,80,2009/02/27,,,,
561,Roche Pharmaceutical Division ,37/8.3/0566,809160006,B03XA,S4,RECORMON,Erythropoietin,1000,iu,PFS,6,,378,56,61,495,82,2009/02/27,,,,
561,Roche Pharmaceutical Division ,F/2.5/188,835129004,N03AE,S5,Rivotril  ,Clonazepam,3,mg/ml,DRP,10,,96,10,15,121,12,2009/02/27,,,,
561,Roche Pharmaceutical Division ,F/2.5/187; H/34/128,761060006,N03AE,S5,Rivotril  ,Clonazepam,1,mg/ml,INJ,5,,121,13,19,152,30,2009/02/27,,,,
561,Roche Pharmaceutical Division ,F/2.5/189,761079009,N03AE,S5,Rivotril  ,Clonazepam,1,mg,TAB,90,,89,9,14,112,1,2009/02/27,,,,
561,Roche Pharmaceutical Division ,F/2.5/190,761087001,N03AE,S5,Rivotril  ,Clonazepam,2,mg,TAB,90,,203,21,31,256,3,2009/02/27,,,,
561,Roche Pharmaceutical Division ,R/13.4.2/118,761125019,D10BA,S5,Roaccutane,Isotretinoin,10,mg,CAP,60,,247,35,39,321,5,2009/02/27,,,,
561,Roche Pharmaceutical Division ,R/13.4.2/119,761133003,D10BA,S5,Roaccutane,Isotretinoin,20,mg,CAP,60,,449,64,72,584,10,2009/02/27,,,,
561,Roche Pharmaceutical Division ,M/22.1.4/84,761249001,A11CC,S4,Rocaltrol ,Calcitriol,0,mg,CAP,30,,153,22,25,200,7,2009/02/27,,,,
561,Roche Pharmaceutical Division ,R/20.1.1/44,761257004,J01DD,S4,Rocephin with diluent ,Ceftriaxone,250,mg,INJ,1,,34,4,5,42,42,2009/02/27,,,,
561,Roche Pharmaceutical Division ,R/20.1.1/45,761265007,J01DD,S4,Rocephin with diluent ,Ceftriaxone,500,mg,INJ,1,,56,6,9,70,70,2009/03/30,,,,
561,Roche Pharmaceutical Division ,R/20.1.1/46,761273018,J01DD,S4,Rocephin with diluent ,Ceftriaxone,1,g,INJ,1,,57,6,9,72,72,2009/03/30,,,,
561,Roche Pharmaceutical Division ,R/20.1.1/47,761281002,J01DD,S4,Rocephin  ,Ceftriaxone,2,g,INJ,1,,114,12,18,144,144,2009/03/30,,,,
561,Roche Pharmaceutical Division ,R/20.1.1/46,761273026,J01DD,S4,Rocephin  ,Ceftriaxone,1,g,INJ,143,,7132,747,1103,8982,63,2009/03/30,,,,
561,Roche Pharmaceutical Division ,31/26/0257,840122012,L03AB,S4,Roferon-a 0 5ml prefilled syr  ,Interferon alfa-2a,3,miu,PFS,1,,159,13,24,196,196,2009/02/27,,,,
561,Roche Pharmaceutical Division ,31/26/0258,840130015,L03AB,S4,Roferon-a 0 5ml prefilled syr  ,Interferon alfa-2a,5,miu,PFS,1,,221,18,33,272,272,2009/02/27,,,,
561,Roche Pharmaceutical Division ,31/26/0259,840149018,L03AB,S4,Roferon-a 0 5ml prefilled syr  ,Interferon alfa-2a,6,miu,PFS,1,,289,23,44,356,356,2009/02/27,,,,
561,Roche Pharmaceutical Division ,31/26/0260,840157010,L03AB,S4,Roferon-a 0 5ml prefilled syr  ,Interferon alfa-2a,9,miu,PFS,1,,428,35,65,527,527,2009/02/27,,,,
561,Roche Pharmaceutical Division ,32/26/0666,893110019,L03AB,S4,Roferon-a 0.6ml penfill  ,Interferon alfa-2a,18,miu,INJ,1,,987,80,149,1217,1217,2009/02/27,,,,
561,Roche Pharmaceutical Division ,31/2.2/0361,845620002,N05CD,S6,Rohypnol  ,Flunitrazepam,1,mg,TAB,30,,85,12,14,111,4,2009/02/27,,,,
561,Roche Pharmaceutical Division ,Q/3.1/318,768448018,M01AE,S3,Synflex 275  ,Naproxen,275,mg,TAB,30,,108,15,17,140,5,2009/02/27,,,,
561,Roche Pharmaceutical Division ,30/3.1/0374,838039006,M01AE,S2,Synflex 550  ,Naproxen,550,mg,TAB,10,,89,13,14,116,12,2009/02/27,,,,
561,Roche Pharmaceutical Division ,A20/26/0359,712628001,L01XE,S4,Tarceva®  ,Erlotinib HCl,25,mg,TAB,30,,4003,324,606,4933,164,2009/07/06,,,,
561,Roche Pharmaceutical Division ,A20/26/0360,712633001,L01XE,S4,Tarceva®  ,Erlotinib HCl,100,mg,TAB,30,,12807,1037,1938,15782,526,2009/07/06,,,,
561,Roche Pharmaceutical Division ,A20/26/0361,712634001,L01XE,S4,Tarceva®  ,Erlotinib HCl,150,mg,TAB,30,,15012,1216,2272,18500,617,2009/07/06,,,,
561,Roche Pharmaceutical Division ,A40/20.2.8/0578,705728001,J05AH,S4,Tamiflu,Oseltamivir,75,mg,CAP,10,,190,21,30,241,24,2009/02/27,,,,
561,Roche Pharmaceutical Division ,A40/20.2.8/0579,705808001,J05AH,S4,Tamiflu,Oseltamivir,12,mg/ml,SYR,100,,190,21,30,241,2,2009/02/27,,,,
561,Roche Pharmaceutical Division ,,839108001,N04BX,S4,Tasmar,Tolcapone,100,mg,TAB,100,,976,152,158,1286,13,2009/02/27,,,,
